enhet_kode,maned,dimensjon,maling,antall_avvik,antall_rader,andel_avvik_pst
MED,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1047,0.0
BUP,2024-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,978,0.0
ORT,2022-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1004,0.0
ONK,2025-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,990,0.0
ORT,2024-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1039,0.0
KIR,2025-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1065,0.0
REH,2022-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1072,1072,100.0
DPS,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1026,0.0
TSB,2022-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1045,0.0
ONK,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1050,0.0
REH,2025-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1877,0.0
BUP,2023-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,979,0.0
MED,2024-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1110,0.0
ONK,2024-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1115,0.0
TSB,2023-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1038,0.0
TSB,2022-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1800,0.0
REH,2024-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1003,0.0
KIR,2024-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1013,0.0
DPS,2024-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1053,0.0
KIR,2023-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,989,0.0
BUP,2023-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1045,0.0
MED,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1041,0.0
DPS,2022-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1083,0.0
REH,2023-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1087,1087,100.0
KIR,2024-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1001,0.0
BUP,2025-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1028,0.0
TSB,2024-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1005,0.0
REH,2022-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1802,1802,100.0
TSB,2023-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1057,0.0
ORT,2022-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,950,0.0
KIR,2023-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1051,0.0
KIR,2022-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1052,0.0
REH,2023-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1043,1043,100.0
ONK,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1071,0.0
REH,2023-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1043,1043,100.0
TSB,2023-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1075,0.0
REH,2025-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1059,0.0
ORT,2024-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1089,0.0
TSB,2025-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1052,0.0
ORT,2024-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1024,0.0
BUP,2022-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1084,0.0
ORT,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1016,0.0
DPS,2022-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1027,0.0
MED,2023-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1079,0.0
DPS,2023-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1005,0.0
ONK,2022-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1840,0.0
DPS,2025-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1059,0.0
MED,2023-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1084,0.0
ONK,2024-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1072,0.0
MED,2025-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1007,0.0
DPS,2023-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1077,0.0
MED,2024-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1017,0.0
TSB,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1072,0.0
ONK,2023-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1099,0.0
KIR,2024-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1060,0.0
ONK,2023-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1088,0.0
DPS,2025-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1026,0.0
MED,2023-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,967,0.0
MED,2022-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1853,0.0
DPS,2024-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1789,0.0
ORT,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1010,0.0
ONK,2023-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1087,0.0
REH,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1040,1040,100.0
DPS,2025-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1050,0.0
ORT,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1070,0.0
ONK,2025-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1034,0.0
BUP,2025-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1039,0.0
ORT,2024-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1028,0.0
ORT,2023-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1041,0.0
DPS,2022-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1026,0.0
REH,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1023,0.0
DPS,2022-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1107,0.0
ORT,2025-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1051,0.0
TSB,2024-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1081,0.0
REH,2024-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1040,0.0
REH,2022-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,932,932,100.0
MED,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1000,0.0
TSB,2022-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,933,0.0
TSB,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1003,0.0
DPS,2025-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1963,0.0
ONK,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1018,0.0
ORT,2023-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1039,0.0
KIR,2023-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1098,0.0
TSB,2024-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1057,0.0
REH,2024-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
ORT,2023-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,978,0.0
ORT,2022-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1877,0.0
ONK,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,981,0.0
MED,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1036,0.0
BUP,2025-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,962,0.0
KIR,2025-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1065,0.0
BUP,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1019,0.0
KIR,2025-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1056,0.0
KIR,2024-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1886,0.0
MED,2025-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,922,0.0
TSB,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1048,0.0
KIR,2023-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1002,0.0
DPS,2024-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1048,0.0
ONK,2025-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,913,0.0
KIR,2025-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1012,0.0
ORT,2025-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1039,0.0
REH,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1048,0.0
KIR,2023-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1054,0.0
BUP,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1051,0.0
ORT,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1035,0.0
DPS,2024-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1064,0.0
DPS,2023-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1009,0.0
DPS,2024-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1094,0.0
DPS,2025-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1092,0.0
MED,2024-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1041,0.0
REH,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1018,1018,100.0
ONK,2024-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1097,0.0
DPS,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1051,0.0
ONK,2024-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1016,0.0
BUP,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1009,0.0
DPS,2025-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1088,0.0
KIR,2023-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1919,0.0
TSB,2023-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1074,0.0
TSB,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1012,0.0
DPS,2022-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1058,0.0
MED,2022-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1028,0.0
KIR,2024-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1016,0.0
DPS,2024-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1119,0.0
MED,2024-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
ONK,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1017,0.0
REH,2022-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1005,1005,100.0
MED,2025-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1025,0.0
ONK,2022-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,969,0.0
MED,2022-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1034,0.0
KIR,2022-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1179,0.0
MED,2025-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1097,0.0
MED,2023-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1031,0.0
KIR,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1020,0.0
ONK,2025-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1074,0.0
DPS,2023-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1825,0.0
KIR,2025-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
KIR,2024-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1044,0.0
KIR,2025-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1042,0.0
ONK,2023-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1065,0.0
KIR,2024-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1028,0.0
BUP,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1132,0.0
DPS,2024-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1046,0.0
REH,2025-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1070,0.0
ORT,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,978,0.0
ONK,2022-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1081,0.0
KIR,2023-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,981,0.0
TSB,2025-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1070,0.0
KIR,2024-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1089,0.0
BUP,2023-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1827,0.0
REH,2025-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1040,0.0
ORT,2022-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1081,0.0
TSB,2023-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1088,0.0
ORT,2025-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1063,0.0
TSB,2025-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1038,0.0
MED,2022-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
KIR,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1057,0.0
REH,2023-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1030,1030,100.0
DPS,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1060,0.0
REH,2025-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1090,0.0
ONK,2022-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1048,0.0
REH,2023-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,1063,1063,100.0
TSB,2024-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1881,0.0
REH,2024-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1903,0.0
REH,2025-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1029,0.0
MED,2022-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1046,0.0
TSB,2025-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1063,0.0
ORT,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1070,0.0
ORT,2025-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1061,0.0
ORT,2024-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1036,0.0
TSB,2025-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1063,0.0
ORT,2023-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1010,0.0
ORT,2024-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,987,0.0
TSB,2023-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
MED,2024-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1053,0.0
ORT,2024-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1076,0.0
ONK,2024-06-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,985,0.0
BUP,2024-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1042,0.0
ONK,2022-03-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1091,0.0
MED,2023-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,970,0.0
MED,2023-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1078,0.0
ORT,2023-12-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1870,0.0
BUP,2022-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1085,0.0
ONK,2024-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1025,0.0
KIR,2022-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1052,0.0
TSB,2024-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1032,0.0
ONK,2023-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
BUP,2025-01-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1120,0.0
MED,2024-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1066,0.0
BUP,2022-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1047,0.0
ONK,2022-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1011,0.0
MED,2022-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1035,0.0
BUP,2024-05-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1083,0.0
ORT,2024-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1026,0.0
ONK,2023-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,927,0.0
MED,2024-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1051,0.0
BUP,2023-04-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1025,0.0
BUP,2024-08-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1038,0.0
DPS,2025-09-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1007,0.0
REH,2024-10-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1037,0.0
BUP,2025-11-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1070,0.0
BUP,2024-07-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,1069,0.0
ONK,2024-02-01 00:00:00,Konsistens,Enhetsnavn avviker fra kodeverk,0,993,0.0
BUP,2023-06-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,19,1054,1.8
BUP,2025-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,21,975,2.15
DPS,2023-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,18,1086,1.66
ORT,2025-02-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,7,903,0.78
TSB,2022-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,20,1114,1.8
BUP,2023-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,22,1121,1.96
KIR,2022-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,16,1100,1.45
KIR,2025-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,31,1830,1.69
REH,2022-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1041,1.34
BUP,2024-09-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,15,1038,1.45
REH,2025-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,20,1020,1.96
MED,2025-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,20,1082,1.85
BUP,2022-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,32,1836,1.74
ONK,2025-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1036,1.16
BUP,2023-05-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,16,1038,1.54
TSB,2023-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,16,1059,1.51
KIR,2022-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1069,1.12
TSB,2025-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1033,1.65
REH,2023-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1022,1.37
TSB,2022-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1089,1.1
TSB,2024-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,11,1043,1.05
ORT,2024-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1859,0.75
TSB,2024-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,22,1081,2.04
REH,2023-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1001,1.2
REH,2022-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1100,1.55
ORT,2023-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,13,1076,1.21
ONK,2025-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,30,1884,1.59
MED,2025-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,32,1871,1.71
TSB,2022-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,21,1053,1.99
REH,2024-05-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,21,1080,1.94
TSB,2024-05-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,15,1047,1.43
TSB,2025-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,19,1047,1.81
MED,2022-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,20,1107,1.81
REH,2024-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1046,1.15
DPS,2023-09-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,989,1.72
ORT,2025-05-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1043,1.34
REH,2025-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,18,1023,1.76
ORT,2023-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,6,1018,0.59
ORT,2025-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,8,1048,0.76
TSB,2025-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1038,1.16
ONK,2022-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,11,1001,1.1
DPS,2022-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1029,1.65
REH,2024-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1051,1.33
ONK,2022-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,23,1082,2.13
BUP,2024-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,11,1041,1.06
ORT,2025-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1077,1.3
REH,2025-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,11,1063,1.03
REH,2022-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,16,1095,1.46
KIR,2025-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,15,1102,1.36
TSB,2023-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,26,991,2.62
MED,2022-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,14,1058,1.32
MED,2024-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,7,1041,0.67
ORT,2024-02-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1059,1.61
KIR,2022-02-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,6,946,0.63
ONK,2023-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,38,1883,2.02
MED,2023-12-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,27,1857,1.45
DPS,2025-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,22,1061,2.07
ORT,2022-09-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,13,1050,1.24
KIR,2024-01-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,10,1039,0.96
ORT,2023-02-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,980,1.22
DPS,2023-10-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,23,1062,2.17
BUP,2022-06-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,19,1029,1.85
ONK,2024-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1022,1.66
BUP,2022-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,17,1036,1.64
KIR,2024-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,20,1046,1.91
ORT,2023-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1072,1.12
TSB,2023-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1080,1.11
ORT,2024-11-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,9,941,0.96
REH,2023-03-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,22,1088,2.02
DPS,2022-08-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,13,1021,1.27
KIR,2025-06-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,9,1048,0.86
BUP,2024-06-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,28,1019,2.75
KIR,2025-04-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,19,973,1.95
REH,2022-09-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,25,1070,2.34
REH,2023-07-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,16,1088,1.47
KIR,2023-05-01 00:00:00,Unikhet,Duplikat ved overføring mellom enheter,12,1106,1.08
